Year,MAR,AGO,BDI,BEN,BFA,BWA,CAF,CIV,CMR,COD,COG,COM,CPV,DJI,DZA,EGY,ERI,ETH,GAB,GHA,GIN,GMB,GNB,GNQ,KEN,LBR,LBY,LSO,MDG,MLI,MOZ,MRT,MUS,MWI,NAM,NER,NGA,RWA,SDN,SEN,SLE,SOM,SSD,STP,SWZ,SYC,TCD,TGO,TUN,TZA,UGA,ZAF,ZMB,ZWE
1960,91.16,89.68,87.02,77.16,77.47,98.63,74.03,83.09,77.15,86.22,81.11,80.22,89.34,84.07,91.43,85.29,85.96,85.53,61.57,87.69,78.08,69.91,76.35,74.78,100.46,78.01,83.94,89.87,85.02,75.73,84.14,87.11,96.39,90.21,82.92,97.73,79.96,103.02,93.16,87.02,71.7,83.68,79.67,58.31,92.14,81.08,81.14,85.78,89.42,92.99,94.21,82.24,92.04,94.74
1961,93.96,91.45,88.12,78.43,78.63,100.53,75.23,84.02,78.04,86.62,82.21,82.04,92.16,84.55,93.59,86.73,86.37,85.81,62.44,88.29,78.97,72.45,76.73,75.68,102.89,78.89,84.84,90.63,86.99,76.75,85.27,88.53,96.65,90.63,83.69,98.64,80.67,105.69,93.87,88.1,72.39,84.72,80.32,63.56,93.4,83.61,82.32,86.52,89.78,93.62,94.97,82.93,93.1,96.36
1962,97.12,93.67,89.48,79.67,79.48,102.92,76.2,84.88,78.85,86.64,83.24,83.88,96.82,84.19,96.37,86.93,86.06,85.79,63.1,88.34,79.94,73.69,77.32,76.62,104.91,79.87,85.93,91.05,89,77.69,86.09,89.61,97.05,90.24,84.34,99.47,81.06,107.39,94.37,89.12,72.74,85.34,80.22,67.99,94.34,86.94,83.59,86.94,90.95,93.77,95.65,83.85,93.95,98.72
1963,100.2,95.86,90.83,80.85,80.1,105.39,76.98,85.65,79.56,86.44,84.19,85.63,102.22,83.62,99.27,86.35,85.41,85.6,63.62,88.11,80.78,73.73,77.86,77.46,106.49,80.83,87.13,91.24,90.87,78.45,86.64,90.43,97.35,89.46,84.88,100.16,81.23,108.32,94.71,89.96,72.86,85.62,79.75,71.76,95.02,90.41,84.76,87.15,93.07,93.63,96.22,84.77,94.63,101.33
1964,102.55,97.22,91.76,81.85,80.59,107.29,77.54,86.24,80.13,86.19,85.02,87.07,106.4,83.51,101.51,85.7,84.86,85.37,64.09,87.98,81.16,73.18,78,77.92,107.62,81.58,88.27,91.35,92.25,78.81,86.9,91.09,97.09,88.81,85.27,100.55,81.28,108.86,94.93,90.38,72.82,85.67,79.44,74.99,95.57,92.77,85.52,87.34,95.76,93.44,96.56,85.31,95.2,103.36
1965,103.82,97.39,92.13,82.62,81,108.29,77.89,86.61,80.56,85.99,85.7,88.1,108.43,84.03,102.73,85.29,84.6,85.16,64.56,88.06,80.96,72.66,77.62,77.94,108.31,82.02,89.31,91.5,93.06,78.69,86.88,91.6,96.06,88.52,85.49,100.56,81.25,109.23,95.06,90.26,72.68,85.57,79.5,77.71,96.08,93.6,85.73,87.76,98.32,93.31,96.63,85.33,95.65,104.44
1966,105.25,98.57,93.49,84.3,82.25,108.71,79.07,87.96,81.79,86.64,86.86,89.42,111.4,85.53,103.87,85.6,85.31,85.99,65.63,89.01,81.55,72.99,77.91,78.59,109.52,83.16,91.11,91.98,94.51,79.99,87.75,92.61,95.26,89.47,86.19,101.68,82.02,108.25,95.8,90.91,73.81,86.35,80.69,85.17,97.01,96.03,86.6,88.68,99.58,93.94,97.38,85.4,96.9,105.88
1967,105.78,98.46,94.12,85.65,83.35,108.36,79.89,88.9,82.71,87.14,87.78,90.26,112.04,87.13,103.83,86,86.07,86.55,66.58,90.07,81.49,73.5,77.62,78.84,110.16,83.91,92.73,92.42,95.28,80.66,88.19,93.39,93.45,90.51,86.65,102.22,82.56,107.05,96.33,90.87,74.6,86.86,82.01,92.26,97.82,97.28,86.89,89.41,99.36,94.45,97.82,84.96,97.8,106.38
1968,105.58,97.51,94.2,86.74,84.27,107.46,80.44,89.55,83.42,87.52,88.51,90.73,111.4,88.79,103.06,86.36,86.79,86.94,67.45,91.12,80.96,74.35,77.01,78.71,110.41,84.38,94.23,92.79,95.55,80.86,88.31,93.93,91.09,91.55,86.96,102.31,82.92,105.66,96.7,90.35,75.14,87.15,83.34,98.66,98.53,97.71,86.78,90.05,98.25,94.85,98,84.19,98.45,106.24
1969,105.02,96.44,93.93,87.63,84.97,106.37,80.75,90.09,84.05,87.74,89.14,90.92,110.82,90.32,102.19,86.41,87.25,87.26,68.23,92,80.22,75.3,76.42,78.1,110.5,84.69,95.69,93.05,95.62,80.82,88.22,94.19,88.69,92.35,87.25,102.09,83.15,104.06,96.98,89.62,75.55,87.16,84.41,104.09,99.14,98.03,86.57,90.57,97,95.07,98.02,83.41,98.97,105.97
1970,104.24,95.66,93.38,88.37,85.41,105.3,80.86,90.6,84.64,87.77,89.71,90.92,110.65,91.62,101.51,86,87.36,87.56,68.93,92.66,79.37,76.23,76.04,76.79,110.56,84.91,97.11,93.21,95.67,80.71,88,94.17,86.4,92.81,87.59,101.62,83.3,102.3,97.19,88.83,75.91,86.82,85.07,108.37,99.66,98.35,86.46,90.82,95.98,95.1,97.88,82.75,99.42,105.82
1971,103.43,96.06,94.23,89.84,86.79,104.33,82.13,91.02,85.91,88.54,90.56,91.41,110.68,93.19,101.56,86.22,88.11,88.56,70.88,93.65,79.65,79.59,76.61,77.56,111.18,85.84,98.96,93.79,96.61,81.99,88.69,94.7,83.19,94.09,88.41,102.08,84.11,101.81,97.94,89.48,77.39,87.44,86.49,108.99,100.51,96.7,87.19,91.96,94.48,95.77,98.53,82.57,100.13,106.08
1972,102.27,96.43,94.64,91,87.75,103.26,83.07,91.18,87.01,89.03,91.26,91.58,111.69,94.34,101.71,85.94,88.4,89.47,72.58,94.3,79.79,81.81,77.2,77.54,111.69,86.56,100.46,94.27,97.33,82.94,89.11,94.88,80.68,94.9,89.28,102.21,84.78,101.09,98.5,89.82,78.67,87.43,87.36,108.71,101.28,95.05,87.93,92.93,93.25,96.13,98.92,82.41,100.74,106.36
1973,100.81,96.78,94.66,91.91,88.42,102.18,83.75,91.16,87.96,89.28,91.83,91.54,113,95.25,101.84,85.33,88.38,90.25,74.08,94.67,79.8,83.06,77.82,76.9,112.07,87.11,101.67,94.62,97.82,83.63,89.33,94.79,78.53,95.39,90.14,102.06,85.32,100.28,98.89,89.92,79.79,87.04,87.79,107.79,101.94,93.39,88.64,93.67,92.2,96.25,99.11,82.23,101.2,106.6
1974,99.08,97.01,94.4,92.6,88.95,101.17,84.24,91.06,88.76,89.38,92.25,91.42,113.76,96.24,101.73,84.63,88.22,90.81,75.47,94.77,79.65,83.78,78.38,76.11,112.28,87.52,102.64,94.87,98.05,84.11,89.36,94.52,76.27,95.71,90.89,101.69,85.73,99.57,99.17,89.82,80.71,86.92,87.96,106.79,102.51,91.58,89.24,94.17,91.08,96.23,99.17,81.95,101.44,106.69
1975,97.16,97.07,94.03,93.11,89.44,100.27,84.59,90.93,89.42,89.36,92.53,91.39,113.62,97.56,101.31,83.99,88.01,91.04,76.76,94.57,79.35,84.28,78.86,75.6,112.32,87.82,103.34,95,98.02,84.39,89.25,94.12,73.71,95.93,91.47,101.1,86.02,99.03,99.37,89.56,81.43,87.84,87.99,106.06,102.99,89.53,89.65,94.46,89.83,96.09,99.17,81.52,101.42,106.57
1976,95.17,98.22,93.26,94.21,90.87,99.39,85.32,91.64,90.63,89.99,93.42,91.74,114.33,98.99,101.28,83.73,88.34,91.48,78.38,94.83,80.14,86.1,80.85,75.18,112.86,88.78,103.99,95.13,98.63,86.13,89.81,94.28,70.71,96.93,93.77,100.95,86.86,99.55,99.91,91.48,83.11,88.31,88.74,106.99,104.02,88.15,91.02,95.5,88.67,96.61,99.67,81.62,102.08,107.43
1977,93.09,98.99,92.48,95.04,92.21,98.58,85.79,92.13,91.59,90.38,94.09,91.97,113.87,99.63,100.88,83.57,88.52,91.84,79.84,94.77,80.68,88.08,82.72,75.14,113.07,89.47,104.29,95.07,98.9,87.47,89.99,94.19,68.03,97.67,95.8,100.82,87.4,100.02,100.24,93.02,84.37,88.69,89.18,108.32,104.81,86.55,92.08,96.23,87.5,96.91,100.01,81.47,102.31,108.04
1978,91.01,99.5,91.75,95.63,93.42,97.85,86.07,92.43,92.36,90.58,94.54,92.15,112.52,99.39,100.25,83.43,88.57,92.22,81.15,94.45,81.05,90.04,84.53,75.45,113.05,89.94,104.2,94.85,98.88,88.49,89.89,93.92,66.1,98.18,97.59,100.69,87.74,100.5,100.38,94.26,85.31,89.15,89.34,109.43,105.42,84.88,92.92,96.7,86.31,97.03,100.22,81.16,102.26,108.45
1979,89.02,99.87,91.08,96.02,94.4,97.15,86.23,92.54,93.01,90.6,94.79,92.29,110.9,98,99.55,83.23,88.51,92.75,82.27,93.96,81.38,91.58,86.37,76,112.94,90.32,103.66,94.52,98.61,89.25,89.65,93.54,65.07,98.47,99.18,100.51,87.96,100.97,100.32,95.35,86.07,89.29,89.25,109.57,105.9,83.22,93.66,97.03,85.12,96.99,100.28,80.8,102.06,108.77
