Year,AFG,ARE,ARM,AZE,BGD,BHR,BRN,BTN,CHN,GEO,HKG,IDN,IND,IRN,IRQ,ISR,JOR,JPN,KAZ,KGZ,KHM,KOR,KWT,LAO,LBN,LKA,MAC,MDV,MMR,MNG,MYS,NPL,OMN,PAK,PHL,PRK,PSE,QAT,SAU,SGP,THA,TJK,TKM,TLS,TUR,UZB,VNM,YEM
1960,81.6,92.75,81.83,81.54,80.29,79.48,90.15,80.05,76.28,59.35,76.48,76.85,76.57,87.78,80.39,69.85,91.6,55.97,72.23,76.6,93.3,87.26,57.61,81.01,90.7,87.1,87.89,69.53,79.12,71.89,95.71,74.96,87.38,76.96,100.44,69.32,,79.52,87.85,82.71,85.36,80.72,81.99,79.11,82.12,83.75,81.35,85.05
1961,82.66,87.69,84.79,85.25,81.65,83.03,92.23,80.57,76.53,60.58,77.61,78.47,77.58,89.4,81.11,70,92.48,54.17,74.42,80.22,94.21,88.88,59.65,81.62,92.06,87.08,90.15,71.81,80.77,74.74,96.59,75.8,88.84,77.69,100.8,71.15,,77.95,88.48,85.45,86.44,84.72,85.46,79.44,83.13,87.54,84.51,85.49
1962,83.22,82.45,87.05,89.13,82.56,86,95.04,80.39,77.76,61.75,77.66,79.93,78.74,91.05,83.51,70.21,93.08,52.24,76.28,83.72,95.49,89.41,61.73,82.11,93.73,86.25,92.95,74.01,82.48,78.28,97.5,76.95,89.99,78.13,101.58,69.64,,76.17,88.83,87.09,87.29,89.21,88.93,79.34,84.3,91.81,87.65,85.27
1963,83.48,77.49,88.6,92.75,83.25,89.01,97.9,79.88,79.29,62.77,77.02,81.27,79.83,92.46,86.68,70.25,93.58,50.3,77.71,86.93,96.77,89.19,63.99,82.44,95.26,84.98,96.04,76.17,84.03,82.08,98.17,78.16,90.96,78.47,102.35,66.76,,74.33,89.03,87.57,87.96,93.77,92.13,79,85.37,96.07,90.59,84.68
1964,83.68,73,89.51,95.56,84,92.21,99.72,79.54,80.18,63.54,76.12,82.49,80.52,93.25,89.25,69.89,94.27,48.56,78.63,89.59,97.45,88.72,66.17,82.56,96.02,83.73,98.16,78.39,85.07,85.43,98.24,78.93,91.87,78.99,102.54,65.32,,72.41,89.2,87.16,88.52,97.67,94.74,78.65,85.96,99.61,93.04,84.16
1965,83.9,68.98,89.78,97.26,84.92,94.97,100.07,79.59,80.09,63.99,75.04,83.54,80.66,93.29,90.65,69.09,95.33,47.13,78.98,91.51,97.26,88.25,68.16,82.46,95.73,82.72,98.21,80.52,85.48,87.92,97.6,79.08,92.79,79.74,101.92,66.51,,70.51,89.39,86.13,89.02,100.53,96.54,78.4,85.94,102.11,94.85,83.92
1966,85.07,65.28,89.36,99.12,86.46,93.35,98.44,80.21,81.09,64.35,74.95,84.74,81.09,93.66,92.58,68.34,96.64,46.29,79.3,93.13,97.33,87.32,72.18,82.89,95.33,81.79,96.79,83.77,86.12,91.19,97.1,79.64,94.09,81.01,101.54,66.43,,68.41,89.92,83.76,89.72,103.14,98.3,78.95,86.22,104.29,96.31,85.22
1967,86.09,62.29,88.15,99.52,88.05,92.02,95.65,80.99,80.89,64.35,74,85.78,80.94,93.26,93.38,67.22,97.35,45.58,78.89,93.82,96.56,86.6,75.54,83.03,94.05,81.16,92.63,86.99,86.17,93.08,95.68,79.59,95.28,82.4,100.45,70.02,,66.27,90.26,81.3,90.29,104.55,99.04,79.38,85.88,105.35,97.17,86.76
1968,86.95,60.03,86.27,98.83,89.54,91.1,92.36,81.83,80.04,64,72.4,86.56,80.4,92.34,93.55,66,97.67,45.08,77.9,93.72,95.24,85.82,78.72,82.97,92.17,80.6,86.83,90.04,85.81,94.1,93.8,79.13,96.36,83.8,98.93,75.4,,64.37,90.52,78.68,90.65,105,98.96,79.67,85.14,105.54,97.46,88.48
1969,87.63,58.4,83.97,97.62,90.61,90.4,89.35,82.52,79.3,63.4,70.51,87,79.73,91.23,93.86,65.1,97.64,44.85,76.63,93.08,93.85,84.64,81.89,82.86,90.22,79.75,80.8,92.66,85.29,95.05,92.05,78.58,97.25,85.01,97.39,79.56,,62.78,90.77,75.81,90.72,104.91,98.42,79.77,84.29,105.23,97.27,90.13
1970,88.09,57.44,81.47,96.11,91.03,89.76,86.95,82.93,78.95,62.6,68.55,87.05,79.11,90.13,94.64,64.74,97.13,44.9,75.3,92.07,92.69,82.93,84.87,82.75,88.48,78.46,75.15,94.68,84.74,96.28,90.69,78.11,97.91,85.89,96.03,81.05,,61.49,91.08,72.73,90.45,104.52,97.67,79.65,83.52,104.53,96.72,91.55
