Year,Asia,Africa,Europe,North America,Oceania,South America,Grand Total,ID
1960,80.58218689,84.56955163,59.25560933,90.08519555,85.80628818,87.5951016,79.28322408,1
1961,81.93415876,85.80377133,59.52367263,90.73356156,86.38082155,88.30946613,80.18983943,2
1962,83.14665181,86.91489109,59.55792652,91.3445775,87.01123292,88.97478634,80.97419747,3
1963,84.18637936,87.86727974,59.41309942,91.89140784,87.64455613,89.50773317,81.61714207,4
1964,84.94053408,88.55427386,59.18807729,92.25420675,88.06139917,89.76792586,82.04202853,5
1965,85.32869783,88.93066215,58.9335768,92.34836632,88.10843581,89.68545636,82.20100485,6
1966,85.79242075,90.02462295,58.8868665,92.38686431,88.24553085,89.85527136,82.63965885,7
1967,85.8233893,90.67434885,58.74297598,92.11965949,88.01573653,89.63464123,82.7363609,8
1968,85.54835672,91.00405362,58.54009932,91.65178581,87.52283989,89.12574239,82.59264977,9
1969,85.10222932,91.15726649,58.32029042,91.11799179,86.91979832,88.4459688,82.32653185,10
1970,84.54404526,91.19199233,58.11002109,90.56173448,86.21715441,87.64502584,81.98400647,11
1971,83.85685112,91.80791215,57.76604316,89.36740315,85.86764735,86.84460897,81.68660098,12
1972,83.0928636,92.20246779,57.44420605,88.34162732,85.46303428,85.9753286,81.32633594,13
1973,82.26442901,92.4058939,57.13209862,87.38104865,85.01044255,85.07572431,80.90157613,14
1974,81.3395687,92.4540012,56.78970906,86.29828805,84.48633828,84.17501254,80.38190527,15
1975,80.30383044,92.39336316,56.39354973,84.98729464,83.85904726,83.27725069,79.75623361,16
1976,79.600539,92.94850653,56.19726102,83.88613645,82.93890201,81.97896582,79.41069033,17
1977,78.69217682,93.29261682,55.90916003,82.46019126,81.93934137,80.76895911,78.89342277,18
1978,77.69371267,93.47332353,55.52178594,80.85588408,80.91684139,79.58194778,78.26353308,19
1979,76.74863505,93.51504495,55.02007369,79.35235219,79.91902199,78.35915455,77.59616318,20
1980,75.93552103,93.43359449,54.40142436,78.10573581,78.97043117,77.10006045,76.93665074,21
1981,75.12508165,93.8944526,53.79770416,76.68877547,78.26644344,76.10649187,76.44528009,22
1982,74.53517622,94.08105716,53.07406875,75.61859274,77.57016033,75.07588268,75.94911316,23
1983,74.07848344,94.06704088,52.32218726,74.77686432,76.85216021,74.08755002,75.45417126,24
1984,73.60558404,93.92676876,51.65402841,73.94786219,76.09418088,73.20300525,74.94254486,25
1985,73.04866266,93.69548413,51.132926,73.00665923,75.31197072,72.41492952,74.40503446,26
1986,72.89414269,93.92070262,50.92071238,72.46361854,74.62041414,71.75754941,74.22679363,27
1987,72.46430954,93.986464,50.81806107,71.76089125,73.90934682,71.11741002,73.93752229,28
1988,71.90187087,93.88410802,50.78131614,71.00533188,73.21831313,70.50953879,73.57836777,29
1989,71.35772722,93.56685362,50.73825622,70.3973709,72.59919172,69.92297904,73.18718867,30
1990,71.53465054,93.00439717,50.62634939,70.03109697,72.08005409,69.34096848,72.80565154,31
1991,71.10166008,92.82727938,50.70188593,69.25599018,71.82524473,68.89156159,72.51894699,32
1992,71.09327081,92.3542168,50.69793961,68.6864213,71.65724294,68.39253447,72.27365658,33
1993,70.67643207,91.64594526,50.62440082,68.20406984,71.48269397,67.8494918,71.8481482,34
1994,70.10284717,90.80894183,50.49472879,67.63275488,71.19678199,67.25689396,71.31385584,35
1995,68.85623096,89.93563455,50.31564741,66.89445194,70.76854792,66.6066923,70.55024676,36
1996,68.16649972,89.48775747,50.07747861,66.13479243,70.40928193,65.97234034,70.04075686,37
1997,67.2755698,88.92905941,49.78240077,65.25538238,69.92390627,65.28970716,69.4111234,38
1998,66.25262476,88.28336657,49.44497402,64.30774719,69.33086628,64.58173778,68.69765551,39
1999,65.17453155,87.53696494,49.07961383,63.38070749,68.69100784,63.86541114,67.93535498,40
2000,64.07790632,86.68162313,48.6985575,62.503995,68.04905196,63.14121641,67.14051895,41
2001,62.60767144,86.12211571,48.39329696,61.40728932,67.32008438,62.44816711,66.31921755,42
2002,61.15183112,85.41671922,48.09537059,60.34721145,66.59405159,61.73887295,65.46616766,43
2003,59.72542085,84.63070067,47.79402473,59.32451676,65.88164771,61.00532339,64.60140555,44
2004,58.33176417,83.83789323,47.47816357,58.33394542,65.20734175,60.23976687,63.74454353,45
2005,56.98320664,83.07751069,47.15631628,57.38586761,64.58419281,59.44640324,62.91391969,46
2006,55.55275031,82.64681627,46.98551131,56.51881881,63.94721107,58.59943804,62.19348978,47
2007,54.2603105,82.18252106,46.79813203,55.71449739,63.47371963,57.75576444,61.51380527,48
2008,53.11845116,81.69311966,46.65138377,54.95589535,63.08914057,56.93020298,60.88621502,49
2009,52.14033959,81.16876168,46.6109002,54.24442726,62.69617964,56.15200241,60.32062894,50
2010,51.33585057,80.60610231,46.71295774,53.59286266,62.24766388,55.4446439,59.82621007,51
2011,50.83088583,80.26672059,47.10152584,53.01918921,62.04769714,54.80125533,59.56042927,52
2012,50.39401789,79.7717633,47.565005,52.47803448,61.664861,54.20255434,59.17190742,53
2013,50.0618785,79.28115199,48.1144412,51.99819564,61.21788885,53.65828471,58.94401133,54
2014,49.83906675,78.75863044,48.74313165,51.61933712,60.85169926,53.17687489,58.77410954,55
2015,49.69922963,78.20802121,49.43508344,51.36210264,60.61516232,52.76224078,58.65949548,56
2016,49.69953251,77.80850467,50.15310494,51.1778674,60.27531783,52.46533425,58.63705957,57
2017,49.72532691,77.30655385,50.94073084,51.10863367,60.0924693,52.21108992,58.63585433,58
