Year,ALB,AUT,BEL,BGR,BIH,BLR,CHE,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,MDA,MKD,MLT,MNE,NLD,NOR,OWID_CIS,POL,PRT,ROU,RUS,SRB,SVK,SVN,SWE,UKR
1960,83.71,52.4,54.76,50.76,70.74,59.18,52.28,74.25,54.06,49.08,55.79,55.19,50.71,60.6,60.91,53.63,52.44,52.53,52.25,72.62,75.25,52.83,54,47.07,48.4,61.2,74.49,85.92,69.49,63.84,58.64,53.11,64.61,59.42,55.53,57.36,,61.92,54.89,51.96,52.4
1961,84.95,53.37,55.76,50.48,71,60.7,52.82,74.5,53.53,50.03,55.59,55.78,51.08,60.02,61.41,54.19,52.93,52.53,51.88,72.66,75.98,53.01,54.49,48.05,48.69,62.58,73.8,83.6,69.56,63.83,58.91,53.44,65.12,59.56,55.66,58.29,,62.01,54.74,51.78,52.65
1962,86.24,54.29,56.38,50,71,61.67,53.04,73.92,52.94,51.2,55.22,56.13,51.25,58.81,61.32,54.4,52.82,52.3,51.71,72.73,76.24,53.03,54.96,48.97,48.98,64.13,73.37,80.26,69.89,63.24,58.78,53.34,64.85,59.72,55.32,58.43,,62.32,54.59,51.42,53.12
1963,87.43,55.25,56.72,49.43,70.66,62.22,53.04,72.55,52.29,52.49,54.8,56.4,51.22,57.21,60.86,54.44,52.37,51.87,51.59,72.74,76.1,52.98,55.55,49.81,49.28,65.61,72.92,76.25,70.24,62.32,58.41,53.36,63.97,59.94,54.65,57.94,,62.64,54.38,51,53.59
1964,88.28,56.31,57.01,48.9,70.04,62.57,52.93,70.78,51.61,53.71,54.47,56.78,51.1,55.65,60.38,54.6,52.06,51.33,51.32,72.64,75.75,53.03,56.22,50.52,49.53,66.64,72.11,72.26,70.23,61.47,58.12,53.67,62.87,60.23,53.99,57.23,,62.65,54.08,50.71,53.76
1965,88.64,57.48,57.34,48.5,69.17,62.82,52.76,68.98,50.9,54.75,54.3,57.32,50.96,54.35,60.05,54.99,52.12,50.73,50.84,72.44,75.25,53.23,56.92,51.09,49.73,67.02,70.84,68.66,69.62,60.91,58.07,54.18,61.76,60.53,53.55,56.5,,62.22,53.68,50.64,53.51
1966,88.84,58.72,57.85,48.28,69.04,62.63,53.06,69.03,50.71,55.97,54.43,57.92,51.02,53.52,60.12,55.92,52.42,50.39,50.23,72.46,74.68,53.69,57.46,51.9,50.05,66.97,69.64,66.4,69.78,60.66,58.17,54.24,60.19,61.26,52.69,55.54,,61.83,53.49,50.88,53.4
1967,88.46,59.99,58.26,48.13,68.31,62.36,53.31,69.13,50.38,56.93,54.58,58.64,51.02,52.79,60.17,56.84,53.27,49.86,49.65,72.18,73.9,54.13,58,52.54,50.25,66.36,68.11,64.1,69.38,60.5,58.49,54.08,58.86,61.7,52.53,54.53,,61.01,52.96,51.24,52.79
1968,87.64,61.19,58.56,48.05,67.21,61.91,53.53,69.27,50.02,57.66,54.78,59.41,51.01,52.17,60.21,57.75,54.47,49.26,49.07,71.8,72.94,54.6,58.48,52.99,50.36,65.25,66.39,61.93,68.54,60.43,58.95,54.19,57.63,61.91,52.72,53.47,,59.91,52.3,51.72,51.92
1969,86.63,62.14,58.72,48.04,66.1,61.18,53.69,69.41,49.87,58.21,55.01,60.08,51.01,51.6,60.23,58.56,55.73,48.72,48.49,71.63,71.84,55.11,58.87,53.23,50.47,63.9,64.71,60.1,67.67,60.29,59.36,54.65,56.31,62.06,52.77,52.4,,58.83,51.75,52.25,51.17
1970,85.54,62.75,58.72,48.09,65.15,60.19,53.77,69.59,50.03,58.56,55.25,60.6,51.06,51.05,60.21,59.22,56.87,48.36,47.94,71.78,70.68,55.66,59.18,53.28,50.64,62.46,63.19,58.71,67.07,60.01,59.6,55.24,54.89,62.31,52.45,51.36,,57.95,51.47,52.76,50.74
1971,84.24,63.16,58.63,48.31,64.07,58.81,54.12,67.09,50.35,58.92,55.55,60.75,51.19,50.48,60.13,59.81,57.39,48.22,48.09,71.2,69.37,56.03,59.02,53.2,50.79,60.57,62.18,56.93,65.63,59.61,59.98,55.29,53.91,61.87,53.29,50.17,,57.21,51.53,53.49,50.09
1972,83.01,63.16,58.44,48.55,63.34,57.55,54.32,64.7,51.03,58.92,55.87,60.82,51.34,49.92,60.05,60.25,57.53,48.32,47.98,71.19,68.19,56.43,58.82,52.85,51.01,59.01,61.12,55.98,64.48,59.05,60.11,54.99,52.8,61.62,53.17,49.22,,56.7,51.89,54.2,49.82
