Year,ABW,ATG,BHS,BLZ,BRB,CAN,CRI,CUB,CUW,DOM,GRD,GTM,HND,HTI,JAM,LCA,MEX,NIC,PAN,PRI,SLV,TTO,USA,VCT,VIR
1960,86.32,90.5,85.76,97.73,81.46,70.7,91.36,65.87,85.5,103.16,117.31,94.41,98.15,76.99,84.42,95.76,97.21,99.55,90.39,91.76,93.13,86.33,66.15,115.66,86.55
1961,84.99,90,85.59,100.34,82.95,71.07,92.25,65.98,85.79,104.45,119.19,95.36,99.64,77.98,86.69,98.28,98.21,101.24,91.05,88.34,94.11,86.71,66.66,116.83,84.63
1962,83.88,89.78,85.78,102.15,84,71.09,92.26,67.45,85.42,105.5,119.98,96.34,100.96,79.25,88.79,100.6,99.44,103.24,91.59,85.44,95.06,87.23,66.7,117.97,83.71
1963,82.78,89.7,86.36,103.54,84.76,70.8,91.79,69.61,84.74,106.26,120.06,97.15,102.02,80.61,90.58,102.64,100.66,105.19,91.99,83.16,95.87,87.79,66.4,119.04,83.77
1964,81.42,89.43,87.1,104.66,85.42,70.27,91.33,71.49,84.13,106.63,120.1,97.47,102.69,81.69,92.15,104.67,101.53,106.47,92.26,81.34,96.35,88.1,65.93,120.02,83.7
1965,79.76,88.81,87.73,105.54,86.02,69.52,91.04,72.61,83.64,106.55,120.4,97.22,102.93,82.31,93.77,106.99,101.88,106.82,92.39,79.63,96.41,87.92,65.38,120.89,82.56
1966,78.33,87.76,86.8,105.99,85.98,68.33,91.04,74.82,82.93,106.25,120.57,97.41,103.71,83.36,96.38,108.72,102.22,106.73,92.64,79.49,96.96,88.01,64.84,120.87,79.55
1967,76.36,86.67,85.66,106.38,85.63,66.81,90.96,75.55,82.8,105.53,120.79,97.07,104.07,83.87,99.38,110.95,102.11,106.09,92.68,78.65,96.99,87.26,64.22,120.62,75.9
1968,74.17,85.45,84.6,106.55,84.99,65.1,90.71,75.53,82.87,104.49,120.89,96.35,104.12,83.97,102.47,113.88,101.72,104.99,92.54,77.48,96.64,86.03,63.52,120.29,71.93
1969,72.16,84.12,83.92,106.37,84.14,63.35,90.04,75.81,82.57,103.2,120.63,95.49,103.95,83.86,105.23,117.32,101.3,103.66,92.24,76.38,96.12,84.87,62.7,120.03,68.5
1970,70.42,82.64,83.62,105.8,83.08,61.64,88.85,76.8,81.58,101.72,119.87,94.63,103.65,83.62,107.34,120.75,101.01,102.27,91.79,75.53,95.5,84,61.75,119.84,66.35
1971,67.92,81.7,81.46,107.04,79.81,59.66,87.26,76.97,80.73,100.2,112.58,94.68,103.96,83.7,107.28,117.84,100.98,101.54,91.36,73.38,94.99,81.22,60.52,118.56,68.84
1972,65.98,80.48,80.51,108.04,77.22,57.92,85.28,78.08,79.01,98.54,107.01,94.61,103.92,83.58,106.57,115.04,101.12,100.67,90.78,71.29,94.46,79.32,59.3,117.29,72.53
1973,64.23,79.07,80.19,108.74,75.08,56.31,83.03,79.43,76.74,96.77,102.74,94.48,103.67,83.31,105.19,112.18,101.3,99.78,90.06,69.42,93.9,77.81,58.09,115.88,77.09
1974,62.23,77.65,79.71,109.14,72.97,54.69,80.72,79.94,74.49,94.95,99,94.32,103.4,82.92,103.28,109.25,101.25,99.02,89.18,67.8,93.25,76.06,56.87,114.15,81.2
1975,59.83,76.22,78.7,109.23,70.73,53.04,78.5,79.08,72.49,93.08,95.26,94.18,103.17,82.48,100.99,106.47,100.82,98.41,88.12,66.35,92.47,73.87,55.63,112.15,83.39
1976,58.53,74.44,77.65,108.99,69.87,51.89,76.25,77.73,69.19,91.3,93.81,94.84,103.24,82.34,97.08,104.27,100.78,98.47,87.17,65.98,91.97,72.24,54.91,109.7,84.51
1977,56.62,72.54,75.63,108.24,68.57,50.63,74.32,75.01,66.23,89.48,91.68,95.48,103.36,82.26,93.64,102.17,100.05,98.52,86,65.84,91.43,70.06,54.12,106.87,82.79
1978,54.26,70.59,73.2,106.94,67.49,49.36,72.62,71.48,63.53,87.7,89.51,96.04,103.43,82.22,90.79,100.04,98.9,98.58,84.69,65.7,90.87,67.77,53.32,103.8,78.57
1979,51.95,68.6,71.15,105.5,67.16,48.28,71,68.04,61.05,86.01,88.44,96.5,103.28,82.23,88.55,97.89,97.66,98.65,83.32,65.48,90.3,66.04,52.64,100.76,73.33
1980,50.07,66.63,69.81,104.26,67.51,47.44,69.45,65.13,58.87,84.45,88.99,96.82,102.83,82.31,86.83,95.78,96.46,98.71,81.95,65.17,89.67,65.12,52.09,97.86,68.43
1981,48.84,64.46,67.72,101.82,65.32,46.84,68.6,61.92,56.94,83,85.91,97.5,102.7,83.08,85.07,92.72,94.58,99.03,80.56,64.72,89.02,64.66,51.65,94.72,65.83
