Year,AUS,FJI,FSM,GUM,KIR,NCL,NZL,PNG,PYF,SLB,TON,VUT,WSM
1960,63.31,101.87,95.79,71.41,95.95,69.51,71.01,82.25,85.05,82.68,95.39,94.79,106.47
1961,63.56,101.69,96.73,71.32,97.82,69.71,71.28,83.12,85.59,83.59,96.13,95.13,107.28
1962,63.35,100.88,98.6,70.61,99.02,70.02,70.91,84.06,87.78,84.79,96.6,95.22,109.31
1963,62.84,99.65,100.7,69.98,99.53,70.39,70.17,84.94,90.84,86.17,97.02,95.16,112.01
1964,62.29,98.13,102.03,69.72,99.54,70.67,69.37,85.52,93.5,87.39,97.33,94.95,114.35
1965,61.83,96.33,102.27,69.57,99.22,70.76,68.66,85.74,94.98,88.26,97.51,94.48,115.79
1966,61.33,94.62,102.32,69.28,98.99,70.92,68.42,86.28,95.01,88.53,100.19,94.49,116.8
1967,60.88,92.67,101.51,68.72,98.29,70.83,68.24,86.42,94.66,88.44,102.3,94.38,116.86
1968,60.51,90.46,100.11,68.52,97.07,70.59,68.03,86.3,94.27,88.09,103.71,94.09,116.04
1969,60.14,87.98,98.65,68.67,95.46,70.48,67.69,86.08,94.08,87.79,104.34,93.7,114.89
1970,59.66,85.27,97.16,68.8,93.43,70.62,67.23,85.86,93.91,87.82,104.01,93.28,113.78
1971,59.2,83.31,98.71,67.27,91.18,71.52,66.55,86.06,93.06,90.3,102.84,93.14,113.15
1972,58.74,81.14,100.42,65.79,88.85,72.5,65.87,86.18,91.15,93.29,101.31,92.91,112.87
1973,58.25,78.84,102.25,64.76,86.4,73.3,65.12,86.23,88.82,96.6,99.39,92.67,112.5
1974,57.66,76.53,104.36,64.24,84.02,73.51,64.19,86.21,86.63,99.8,97.15,92.4,111.61
1975,56.95,74.32,106.9,63.98,81.75,72.97,63.03,86.12,84.81,102.55,94.65,92.02,110.13
1976,56.6,73.88,105.86,62.9,79.66,73.99,62.61,86.36,82.67,103.09,91.21,91.83,107.55
1977,55.89,73.4,105.06,61.78,78.09,73.91,61.82,86.48,81.17,102.98,88.39,91.48,104.77
1978,55.01,72.87,104.51,60.78,76.87,73.17,60.75,86.49,79.9,102.57,86.07,91.12,101.81
1979,54.22,72.36,104.07,59.98,75.79,72.36,59.63,86.42,78.28,102.26,83.96,90.78,98.84
1980,53.62,71.9,103.61,59.41,74.75,71.74,58.64,86.25,76.11,102.2,81.81,90.51,96.07
1981,52.77,71.66,102.27,58.13,75.31,70.79,57.32,86.34,74.43,102.46,82.16,90.14,93.68
1982,52.27,71.47,101.19,57.08,75.23,70.37,56.29,86.28,72.07,102.79,81.93,90.04,91.4
1983,51.97,71.51,100.03,56.27,74.79,70,55.44,86.08,69.31,102.99,81.38,90.2,89.11
1984,51.63,71.73,98.53,55.64,74.57,69.1,54.61,85.71,66.7,102.74,80.87,90.53,86.87
1985,51.19,71.9,96.6,55.12,74.95,67.52,53.77,85.16,64.67,101.89,80.55,90.93,84.8
1986,51.01,71.86,95.92,54.2,74.69,66.09,53.36,84.8,63.84,100.74,79.76,90.37,83.43
