Year,Asia,Africa,Europe,North America,Oceania,South America,Grand Total
1960,1687949000,282966000,598252000,275627992,15926000,148653000,3009373992
1961,1721733008,289802000,604218000,280896000,16255000,152701000,3065605008
1962,1756790968,296892000,610263000,286106000,16584000,156862000,3123497968
1963,1793632992,304243000,616242000,291240000,16922000,161115000,3183394992
1964,1832882976,311836000,621973000,296278000,17278000,165429000,3245676976
1965,1874930016,319667000,627337000,301209000,17658000,169783000,3310584016
1966,1919957976,327756000,632262000,306017000,18070000,174172000,3378234976
1967,1967681984,336109000,636794000,310708992,18503000,178596000,3448392976
1968,2017438992,344734000,641035000,315342000,18947000,183048000,3520544992
1969,2068280016,353650000,645132000,319972008,19384000,187525000,3593943024
1970,2119465040,362868000,649204000,324658992,19798000,192024000,3668018032
1971,2170845032,372394000,653272000,329415000,20194000,196538000,3742658032
1972,2222437992,382245000,657312000,334244000,20568000,201071000,3817877992
1973,2273910976,392449000,661282000,339122008,20921000,205653000,3893337984
1974,2324898008,403043000,665129000,344021008,21257000,210312000,3968660016
1975,2375197000,414062000,668818000,348931992,21577000,215076000,4043661992
1976,2424614008,425515000,672341000,353851000,21883000,219948000,4118152008
1977,2473273032,437406000,675725992,358789000,22170000,224921000,4192285024
1978,2521687024,449730000,678970000,363749008,22455000,229997000,4266588032
1979,2570590976,462486000,682092008,368737008,22754000,235173000,4341832992
1980,2620547048,475662000,685093992,373759000,23071000,240448000,4418581040
1981,2671537040,489261000,687967000,378817000,23413000,245816000,4496811040
1982,2723475968,503270000,690709008,383908000,23783000,251271000,4576416976
1983,2776739960,517701000,693380000,389039000,24171000,256788000,4657818960
1984,2831764064,532547000,696050000,394204992,24571000,262327000,4741464056
1985,2888753992,547807000,698770992,399411000,24980000,267863000,4827585984
1986,2947966992,563487000,701559008,404663008,25393000,273380992,4916450000
1987,3009035968,579561000,704376992,409961992,25814000,278883000,5007632952
1988,3070778024,595963000,707117992,415302000,26238000,284367000,5099766016
1989,3131586960,612608000,709640000,420679000,26666000,289829000,5191008960
1990,3192404976,629420000,721338000,426090000,27089000,295281008,5291622984
1991,3248668048,646391000,723270000,431520008,27512000,300704000,5378065056
1992,3300742048,663533000,724900992,436971008,27929000,306102008,5460178056
1993,3353045064,680867000,726186000,442492000,28348000,311469992,5542408056
1994,3404257944,698413000,727070992,448153992,28760000,316822992,5623478920
1995,3456527968,716213000,727549008,453991000,29166000,322161000,5705607976
1996,3506732952,734279000,727591992,460040008,29568000,327490008,5785701960
1997,3556359000,752623000,727256000,466261984,29971000,332792992,5865263976
1998,3605435984,771295000,726743992,472534008,30374000,338044992,5944427976
1999,3653957992,790336000,726322000,478691000,30776000,343204008,6023287000
2000,3701943040,809776000,726186992,484619008,31183000,348245000,6101953040
2001,3749451056,829660000,726412008,490257000,31593000,353159000,6180532064
2002,3796555056,850006000,726964000,495649008,32007000,357951000,6259132064
2003,3843307864,870915000,727796008,500917000,32444000,362620992,6338000864
2004,3889737088,892468000,728825992,506238008,32918000,367167000,6417354088
2005,3935890040,914747992,729977000,511727984,33442000,371598008,6497383024
2006,3981751912,937765000,731247008,517425008,34024000,375908008,6578120936
2007,4027343944,961557000,732656000,523277000,34656000,380105000,6659594944
2008,4072809968,986140000,734146992,529198016,35318000,384213000,6741825976
2009,4118301960,1011540992,735670008,535076000,35985000,388274008,6824847968
2010,4163930968,1037780008,737172008,540807008,36635000,392309000,6908633992
2011,4209714040,1064866992,738621008,546386000,37261000,396331008,6993180048
2012,4255544920,1089526992,740005000,551827000,37867000,400335008,7075105920
2013,4301187968,1118178000,741334992,557122992,38457000,404308000,7160588952
2014,4346346960,1147511992,742616992,562281992,39038000,408237000,7246032936
2015,4390758952,1177457992,743866992,567319016,39619000,412099000,7331120952
2016,4434351016,1208002000,745086008,572219000,40194000,415893008,7415745032
2017,4477090944,1239119992,746240000,576983992,40762000,419625000,7499821928
